index,genres,id,original_language,title
131,Comedy Drama Romance,55475,es,Nueba Yol
132,Music Documentary,124636,en,Sonic Outlaws
133,Comedy,9101,en,Down Periscope
134,Documentary,123360,en,From the Journals of Jean Seberg
135,Comedy,5757,en,Man of the Year
136,Drama,39428,en,The Neon Bible
137,,124639,en,Target
138,Drama Romance,9302,en,Up Close & Personal
139,Comedy,11000,en,The Birdcage
140,Drama,249882,en,Virgin Mary
141,Comedy Drama Romance,16388,en,The Brothers McMullen
142,Action Comedy Crime Thriller,9737,en,Bad Boys
143,Action Adventure Drama Family,30765,en,The Amazing Panda Adventure
144,Drama Crime,10474,en,The Basketball Diaries
145,Romance Drama Comedy,22279,en,An Awfully Big Adventure
146,Crime Comedy Drama Thriller,30157,en,Amateur
147,Drama,568,en,Apollo 13
148,Adventure,11780,en,Rob Roy
149,Drama Horror,34996,en,The Addiction
150,Action Crime Fantasy,414,en,Batman Forever
151,Drama Romance,649,fr,Belle de Jour
152,Drama Thriller,1873,en,Beyond Rangoon
153,Comedy,5894,en,Blue in the Face
154,Action Comedy,1775,en,Canadian Bacon
155,Fantasy Comedy Family,8839,en,Casper
156,Mystery Crime Drama,20649,en,Clockers
157,Action Adventure Drama Mystery Science Fiction Thriller,10329,en,Congo
158,Action Thriller Drama,8963,en,Crimson Tide
159,Documentary,26564,en,Crumb
160,Thriller Action Crime,8068,en,Desperado
161,Drama Mystery Thriller,8512,en,Devil in a Blue Dress
162,Action Thriller,1572,en,Die Hard: With a Vengeance
163,Action Comedy Crime Drama,13552,en,The Doom Generation
164,Drama Crime,259209,en,Feast of July
165,Action Adventure Drama Romance,6520,en,First Knight
166,Adventure,9073,en,Free Willy 2 - The Adventure Home
167,Action Crime Thriller Drama,10428,en,Hackers
168,Comedy Drama Romance,17447,en,Jeffrey
169,Adventure Action Drama Science Fiction Thriller,9886,en,Johnny Mnemonic
170,Science Fiction,9482,en,Judge Dredd
171,Comedy Drama,19326,en,Jury Duty
172,Drama Crime,9344,en,Kids
173,Drama Comedy,9071,en,Living in Oblivion
174,Mystery Horror Thriller,8973,en,Lord of Illusions
175,Comedy Drama,15730,en,Love & Human Remains
176,Drama Family Romance,47608,en,Mad Love
177,Romance Comedy,2293,en,Mallrats
178,Action Adventure Science Fiction Family Fantasy,9070,en,Mighty Morphin Power Rangers: The Movie
179,Comedy Drama Romance,68274,en,Moonlight and Valentino
180,Thriller Foreign,48787,en,Mute Witness
181,Horror Thriller,34574,en,Nadja
182,Crime Drama Mystery Thriller Action,1642,en,The Net
183,Comedy,11472,en,Nine Months
184,Comedy,36196,en,Party Girl
185,Fantasy Horror Thriller,11980,en,The Prophecy
186,Fantasy Comedy Drama,58372,en,Reckless
187,Drama,32646,en,Safe
188,Drama History Romance,10533,en,The Scarlet Letter
189,Documentary,56088,en,The Show
190,Drama,10802,en,Showgirls
191,Comedy Drama,10149,en,Smoke
192,Comedy,18402,en,Something to Talk About
193,Science Fiction Horror Action,9348,en,Species
194,Drama,139408,en,The Stars Fell on Henrietta
195,Crime Drama Science Fiction Thriller,281,en,Strange Days
196,Drama Romance,5967,fr,The Umbrellas of Cherbourg
197,Thriller,79593,en,The Tie That Binds
198,Drama Fantasy,47939,en,Three Wishes
199,Drama Romance,36834,en,Total Eclipse
200,Comedy,9090,en,"To Wong Foo, Thanks for Everything! Julie Newmar"
201,Action Thriller,3512,en,Under Siege 2: Dark Territory
202,Comedy Drama Family,52856,en,Unstrung Heroes
203,Documentary,77350,en,Unzipped
204,Drama Romance,9560,en,A Walk in the Clouds
205,Adventure Action,9804,en,Waterworld
206,Drama,31611,en,White Mans Burden
207,Action Western,65796,en,Wild Bill
208,Drama,49805,en,The Browning Version
209,Adventure Action Comedy Crime Family,26258,en,Bushwhacked
210,Drama,50797,ru,Burnt by the Sun
211,Drama War,19155,en,Before the Rain
212,Drama Romance,76,en,Before Sunrise
213,Comedy,11017,en,Billy Madison
214,Drama Thriller,37141,en,The Babysitter
215,Comedy Drama,9382,en,Boys on the Side
216,Drama Family,6715,en,The Cure
217,Thriller Drama Horror Mystery,18256,en,Castle Freak
218,Drama Family Romance,22625,en,Circle of Friends
219,Comedy,2292,en,Clerks
220,Romance Drama Comedy,1909,en,Don Juan DeMarco
221,Drama Thriller Crime Mystery Romance,8984,en,Disclosure
222,Thriller,61813,en,Dream Man
223,Action Adventure Thriller,4954,en,Drop Zone
224,Crime Comedy Fantasy,62488,it,Destiny Turns on the Radio
225,Drama Thriller Mystery,10531,en,Death and the Maiden
226,Crime Drama Mystery,11929,en,Dolores Claiborne
227,Comedy,8467,en,Dumb and Dumber
228,Comedy Drama Romance,10451,zh,Eat Drink Man Woman
229,Drama Mystery,20156,en,Exotica
230,Thriller Comedy Crime Romance,18395,en,Exit to Eden
231,Comedy Drama History,522,en,Ed Wood
232,Comedy Romance,397,en,French Kiss
233,Comedy Drama Romance,10525,en,Forget Paris
234,Action Adventure Drama Family,27985,en,Far from Home: The Adventures of Yellow Dog
235,Romance Animation Family Comedy Adventure,15789,en,A Goofy Movie
236,Drama Thriller,27303,en,Hideaway
237,Drama Family Fantasy,21183,en,Fluke
238,History Drama,10954,fr,Farinelli
239,Drama Family Fantasy,47867,en,Gordy
240,Fantasy Animation Science Fiction Family,43475,en,Gumby: The Movie
241,Drama Action Thriller Crime,72031,en,The Glass Shield
242,Documentary,14275,en,Hoop Dreams
243,Drama Fantasy,1024,en,Heavenly Creatures
244,Comedy Family,17207,en,Houseguest
245,Drama Music Romance,13701,en,Immortal Beloved
246,Comedy Family Drama,14819,en,Heavyweights
247,Action Thriller,32631,en,The Hunted
248,Comedy Drama Romance,11777,en,I.Q.
249,Horror Romance,628,en,Interview with the Vampire
250,Drama Romance,87729,en,Jefferson in Paris
251,Comedy Crime,18713,en,The Jerky Boys
252,Comedy Family Romance,6280,en,Junior
253,Action Drama Mystery Thriller,9061,en,Just Cause
254,Adventure Fantasy Comedy Science Fiction Family,37108,en,A Kid in King Arthurs Court
255,Action Crime Drama Thriller,6071,en,Kiss of Death
256,Adventure Action Science Fiction,11,en,Star Wars
257,Drama Romance,9587,en,Little Women
258,Drama Family Fantasy,19101,en,A Little Princess
259,Drama,49980,en,Ladybird Ladybird
260,Crime Drama,17961,fr,LEnfer
261,Drama Romance,18183,es,Like Water for Chocolate
262,Adventure Drama Romance War,4476,en,Legends of the Fall
263,Adventure Comedy Family,11008,en,Major Payne
264,Action Drama,47504,en,Little Odessa
265,Crime Drama,32325,en,Mi Vida Loca
266,Drama Romance,43742,en,Love Affair
267,Drama,28313,en,Losing Isaiah
268,Comedy Drama History,11318,en,The Madness of King George
269,Drama Horror Science Fiction Romance,3036,en,Mary Shelleys Frankenstein
270,Action Comedy Family,40490,en,Man of the House
271,Comedy Drama Romance,24070,en,Mixed Nuts
272,Comedy Romance,8986,en,Milk Money
273,Fantasy Drama Family,10510,en,Miracle on 34th Street
274,Comedy Romance,17402,en,Miami Rhapsody
275,Comedy Drama,38722,en,My Family
276,Crime Drama,8438,en,Murder in the First
277,Drama Comedy,11593,en,Nobodys Fool
278,Drama Thriller,1945,en,Nell
279,Crime Drama,39310,en,New Jersey Drive
280,Action Thriller Crime Drama,109560,en,New York Cop
281,Horror,56428,en,Beyond Bedlam
282,Science Fiction Action Thriller,63105,en,Nemesis 2 - Nebula
283,Drama Romance,131957,en,Nina Takes a Lover
284,Crime Thriller Drama,241,en,Natural Born Killers
285,Comedy Drama Romance,9058,en,Only You
286,Drama,527,en,Once Were Warriors
287,Drama Romance Thriller,18220,en,Poison Ivy II: Lily
288,Action Drama Science Fiction Thriller,6950,en,Outbreak
289,Thriller Crime Drama,101,fr,Leon: The Professional
290,Comedy Drama Romance,63020,en,The Perez Family
291,Comedy Drama Romance,2307,en,A Pyromaniacs Love Story
292,Thriller Crime,680,en,Pulp Fiction
293,Drama,41478,en,Panther
294,Comedy Drama,25296,zh,Pushing Hands
295,Drama Romance,40156,en,Priest
296,History Drama,11450,en,Quiz Show
297,Drama History,30304,en,Picture Bride
298,Drama History,10452,fr,Queen Margot
299,Action Western,12106,en,The Quick and the Dead
300,Drama Comedy,161495,sv,Roommates
301,Drama Comedy,3586,en,Prêt-à-Porter
302,Drama Mystery Romance,110,fr,Three Colors: Red
303,Drama Music Mystery,108,fr,Three Colors: Blue
304,Comedy Drama Mystery,109,fr,Three Colors: White
305,Drama,159185,zh,"Red Firecracker, Green Firecracker"
306,Comedy Family TV Movie,36357,en,Rent-a-Kid
307,Horror Drama,92769,en,Relative Fear
308,Comedy Drama,28033,en,Stuart Saves His Family
309,Animation,22586,en,The Swan Princess
310,Drama Family Fantasy,14334,en,The Secret of Roan Inish
311,Action Thriller,2636,en,The Specialist
312,Action Adventure Science Fiction,2164,en,Stargate
313,Fantasy Drama Comedy Family,11395,en,The Santa Clause
314,Drama Crime,278,en,The Shawshank Redemption
315,Crime Thriller,9905,en,Shallow Grave
316,Drama Thriller,87078,en,Suture
317,Comedy Drama,12527,es,Strawberry and Chocolate
318,Crime Comedy,20306,en,Swimming with Sharks
319,Comedy Drama Romance,36614,en,The Sum of Us
320,Comedy,27993,en,Senior Trip
321,Drama Romance War,31439,zh,To Live
322,Action Comedy Fantasy Science Fiction,9067,en,Tank Girl
323,Horror Comedy Thriller,9059,en,Tales from the Crypt: Demon Knight
324,Science Fiction Action Adventure Thriller,193,en,Star Trek: Generations
325,Crime Horror Thriller,25066,en,Tales from the Hood
326,Drama Romance,46797,en,Tom & Viv
327,Thriller Horror Science Fiction,12122,en,Village of the Damned
328,Comedy,11381,en,Tommy Boy
329,Drama Romance,32636,en,Vanya on 42nd Street
330,Thriller Crime,36141,en,The Underneath
331,Drama War,95963,en,The Walking Dead
332,Romance Drama,1587,en,Whats Eating Gilbert Grape
333,Action Crime Science Fiction Thriller,9271,en,Virtuosity
334,Comedy Drama Romance,2064,en,While You Were Sleeping
335,Drama,19855,en,The War
336,Comedy Romance,60855,en,Double Happiness
337,Drama Comedy Romance,236,en,Muriels Wedding
338,Comedy Drama Family,48287,en,The Baby-Sitters Club
339,Comedy Mystery,3049,en,Ace Ventura: Pet Detective
340,Drama Comedy,2759,en,"The Adventures of Priscilla, Queen of the Desert"
341,Drama Music,12635,en,Backbeat
342,Thriller Drama Romance,10497,en,Bitter Moon
343,Action Comedy Thriller,11382,en,Bullets Over Broadway
344,Action Drama Thriller,9331,en,Clear and Present Danger
345,Drama Thriller Crime Mystery,10731,en,The Client
346,Comedy Drama Family Romance,10464,en,"Corrina, Corrina"
347,Comedy Drama,34152,en,Crooklyn
348,Fantasy Action Thriller,9495,en,The Crow
349,Drama,29973,en,Cobb
350,Fantasy Comedy Family,888,en,The Flintstones
351,Comedy Drama Romance,13,en,Forrest Gump
352,Comedy Drama Romance,712,en,Four Weddings and a Funeral
353,Romance Drama Crime,16295,en,Higher Learning
354,Comedy Drama Romance,48992,en,I Like It Like That
355,Action Comedy Romance,10879,en,I Love Trouble
356,Comedy Drama Romance,10660,en,It Could Happen to You
357,Adventure Drama Family,10714,en,The Jungle Book
358,Documentary Foreign,41647,en,"The Wonderful, Horrible Life of Leni Riefenstahl"
359,Family Animation Drama,8587,en,The Lion King
360,Drama History,1689,en,Little Buddha
361,Horror Thriller Mystery Fantasy,11596,en,New Nightmare
362,Romance Comedy Crime Fantasy,854,en,The Mask
363,Action Adventure Comedy Drama Western,9359,en,Maverick
364,Drama,23333,en,Mrs. Parker and the Vicious Circle
365,Comedy Crime,36593,en,The Naked Gun 33⅓: The Final Insult
366,Comedy Drama,12280,en,The Paper
367,Drama,2788,en,Reality Bites
368,Crime Drama Thriller,10427,en,Red Rock West
369,Comedy Family,11011,en,Ri¢hie Ri¢h
370,Drama,49803,en,Safe Passage
371,Action Adventure Crime Thriller,8987,en,The River Wild
372,Action Adventure Crime,1637,en,Speed
373,Comedy Romance,15128,en,Speechless
374,Thriller Science Fiction Action Crime,8831,en,Timecop
375,Action Thriller,36955,en,True Lies
376,Drama Romance,10449,en,When a Man Loves a Woman
377,Fantasy,10395,en,Wolf
378,Drama Action Western,12160,en,Wyatt Earp
379,Action Crime Romance Thriller,40480,en,Bad Company
380,Comedy Drama,52038,en,A Man of No Importance
381,Comedy Drama,29444,en,S.F.W.
382,Action Comedy Crime,26352,en,A Low Down Dirty Shame
383,Drama,39953,en,"Boys Life: Three Stories of Love, Lust, and Liberation"
384,Drama,41580,fr,Colonel Chabert
385,Action Crime,315,en,"Faster, Pussycat! Kill! Kill!"
386,Crime Drama Romance,22067,en,Jasons Lyric
387,Animation Science Fiction,18242,en,The Secret Adventures of Tom Thumb
388,Action Adventure Thriller,11667,en,Street Fighter
389,Action Comedy,32502,en,Coldblooded
390,,267188,en,Desert Winds
391,Action Adventure Crime Drama Thriller,28732,en,Fall Time
392,Horror Thriller,75555,en,The Fear
393,Documentary,42981,en,Frank and Ollie
394,Romance Adventure Crime Drama,278939,en,Girl in the Cadillac
395,Thriller Drama,291731,en,Homage
396,Action Thriller,226229,en,Mirage
397,Comedy,203119,en,Open Season
398,,172923,en,Dos Crímenes
399,Documentary,316098,en,Brother Minister: The Assassination of Malcolm X
400,Action Fantasy Science Fiction,8011,en,Highlander: The Final Dimension
401,,171857,en,Federal Hill
402,Horror Mystery Thriller,2654,en,In the Mouth of Madness
403,Drama Romance,18069,en,8 Seconds
404,Crime Drama,19092,en,Above the Rim
405,Comedy Family Fantasy,2758,en,Addams Family Values
406,Comedy,38129,en,Martin Lawrence: You So Crazy
407,Drama Romance,10436,en,The Age of Innocence
408,Comedy Crime Music,13595,en,Airheads
409,Comedy Family,46094,en,The Air Up There
410,Action Comedy,9409,en,Another Stakeout
411,Action Adventure Comedy Drama Western,11853,en,Bad Girls
412,Comedy Drama Romance,16771,en,Barcelona
413,Drama Comedy Fantasy,46924,en,Being Human
414,Comedy,11041,en,The Beverly Hillbillies
415,Action Comedy Crime,306,en,Beverly Hills Cop III
416,Action Adventure Drama Family,14522,en,Black Beauty
417,Mystery Crime Drama Thriller,26203,en,Blink
418,Drama Action Thriller,178,en,Blown Away
419,Drama,19819,en,Blue Chips
420,Drama Romance,57834,en,Blue Sky
421,Horror Science Fiction Thriller,4722,en,Body Snatchers
422,Drama Romance,18215,en,Boxing Helena
423,Drama Crime,1607,en,A Bronx Tale
424,Comedy,26391,en,Cabin Boy
425,Drama Comedy,117553,en,Calendar Girl
426,Action Crime Drama Thriller,6075,en,Carlitos Way
427,Action Comedy Drama Western,11310,en,City Slickers II: The Legend of Curlys Gold
428,Comedy Thriller Mystery,18658,en,Clean Slate
429,Action Adventure Thriller,9350,en,Cliffhanger
430,Comedy Science Fiction Family,9612,en,Coneheads
431,Drama Mystery Romance Thriller,2124,en,Color of Night
432,Action Comedy Family,26261,en,Cops & Robbersons
433,Western Action Comedy,19176,en,The Cowboy Way
434,Drama,49299,en,Dangerous Game
435,Comedy,11566,en,Dave
436,Comedy Drama,9571,en,Dazed and Confused
437,Crime Action Science Fiction,9739,en,Demolition Man
438,Documentary,24257,en,The Endless Summer 2
439,Western Drama Comedy Romance,34444,en,Even Cowgirls Get the Blues
440,Comedy,26141,en,Fatal Instinct
441,Drama,10997,zh,Farewell My Concubine
442,Drama Comedy Romance,50463,en,The Favor
443,Drama,10443,en,Fearless
444,Comedy,20239,en,Fear of a Black Hat
445,Comedy Drama,16297,en,With Honors
446,Drama Mystery Romance,18551,en,Flesh and Bone
447,Comedy Thriller Mystery Romance Foreign,25440,en,Widows Peak
448,Comedy Romance,9024,en,For Love or Money
449,Drama Mystery Thriller,37233,en,The Firm
450,Family Adventure,1634,en,Free Willy
451,Crime Drama Thriller,13815,en,Fresh
452,Adventure Action Thriller Crime Mystery,5503,en,The Fugitive
453,History Action Drama Western,35588,en,Geronimo: An American Legend
454,Drama Action Thriller,2087,en,The Getaway
455,Family Comedy Crime,41579,en,Getting Even with Dad
456,Drama Romance,18620,en,Go Fish
457,Comedy Drama,41006,en,A Good Man in Africa
458,Drama Thriller,4916,en,Guilty as Sin
459,Action Adventure Crime Thriller,2019,en,Hard Target
460,History War Action Drama,31642,en,Heaven & Earth
461,Action Comedy War,9255,en,Hot Shots! Part Deux
462,Comedy,26271,en,Live Nude Girls
463,Drama Comedy Romance,10612,en,The Englishman Who Went Up a Hill But Came Down a Mountain
464,Romance Drama,2259,en,The House of the Spirits
465,Comedy,16097,en,House Party 3
466,Comedy Drama,11934,en,The Hudsucker Proxy
467,Comedy Drama,106143,en,Ill Do Anything
468,Comedy,12475,en,In the Army Now
469,Action Drama Thriller Crime Mystery,9386,en,In the Line of Fire
470,Drama,7984,en,In the Name of the Father
471,Comedy Drama Romance,59930,en,The Inkwell
472,Drama Music,15765,en,Whats Love Got to Do with It
473,Comedy,31643,en,Jimmy Hollywood
474,Action Thriller Crime,6,en,Judgment Night
475,Adventure Science Fiction,329,en,Jurassic Park
476,Thriller Crime,10909,en,Kalifornia
477,Action Crime Drama Thriller,507,en,Killing Zoe
478,Drama,34024,en,King of the Hill
479,Action Adventure Drama Family,29918,en,Lassie
480,Adventure Fantasy Action Comedy Family,9593,en,Last Action Hero
481,Comedy Family,42580,en,Life With Mikey
482,Action Comedy Western,22317,en,Lightning Jack
483,Drama Romance,1413,en,M. Butterfly
484,Comedy,12121,en,Made in America
485,Drama Crime,2246,en,Malice
486,Drama,10502,en,The Man without a Face
487,Comedy Mystery,10440,en,Manhattan Murder Mystery
488,Drama Action Crime,9516,en,Menace II Society
489,Action Adventure Drama Thriller,2320,en,Executive Decision
490,Drama Romance,5879,ja,In the Realm of the Senses
491,Thriller Comedy Drama Romance,83718,en,What Happened Was...
492,Drama Comedy Romance,11971,en,Much Ado About Nothing
493,Drama Romance,2625,en,Mr. Jones
494,Comedy Romance,31911,en,Mr. Wonderful
495,Comedy Drama Family,788,en,Mrs. Doubtfire
496,Comedy Drama,21450,en,Naked
497,Adventure,11231,en,The Next Karate Kid
498,Comedy Drama,41588,en,The New Age
499,Action Drama Science Fiction Thriller,10447,en,No Escape
500,Comedy Drama Family Fantasy Science Fiction,31586,en,North
501,Romance Drama Fantasy,9300,en,Orlando
502,Crime Drama Thriller,9559,en,A Perfect World
503,Drama,9800,en,Philadelphia
504,Drama Romance,713,en,The Piano
505,Drama Romance,8291,en,Poetic Justice
506,Drama,18133,en,The Program
507,Horror Science Fiction Thriller,25557,en,The Puppet Masters
508,Comedy Crime Drama Music Mystery Romance,22588,en,Radioland Murders
509,Comedy,10872,en,The Ref
510,Drama Romance,1245,en,The Remains of the Day
511,Comedy War,11858,en,Renaissance Man
512,Action Drama Thriller,7007,en,Rising Sun
513,Comedy Romance,10467,en,The Road to Wellville
514,Action Adventure Crime Science Fiction Thriller,5550,en,RoboCop 3
515,Comedy,8005,en,Robin Hood: Men in Tights
516,Action Crime Drama Thriller,2088,en,Romeo Is Bleeding
517,Action Drama Thriller,10412,en,Romper Stomper
518,Drama Romance,47889,en,Ruby in Paradise
519,Drama,14534,en,Rudy
520,Drama,56583,en,The Saint of Fort Washington
521,Drama,41878,fr,Savage Nights
522,Drama History War,424,en,Schindlers List
523,Comedy Drama,35233,en,The Scout
524,Drama,14291,en,Searching for Bobby Fischer
525,Drama,103413,en,Second Best
526,Drama Family Fantasy,11236,en,The Secret Garden
527,Comedy Crime Horror Thriller,11592,en,Serial Mom
528,Adventure Fantasy Action Thriller Science Fiction,8850,en,The Shadow
529,Drama Romance,10445,en,Shadowlands
530,Comedy Drama,695,en,Short Cuts
531,Drama Family,43535,en,A Simple Twist of Fate
532,Comedy Drama,12519,en,Sirens
533,Mystery Drama Comedy,23210,en,Six Degrees of Separation
534,Comedy Drama Romance,858,en,Sleepless in Seattle
535,Drama Thriller,867,en,Sliver
536,Science Fiction Drama Thriller,78,en,Blade Runner
537,Comedy Drama Romance,13203,en,Son in Law
538,Comedy Crime Romance,10442,en,So I Married an Axe Murderer
539,Crime Action Mystery Thriller,11074,en,Striking Distance
540,History Drama Romance,33367,en,Harem
541,Adventure Comedy Family Fantasy,9607,en,Super Mario Bros.
542,Action Adventure Thriller Crime,17585,en,Surviving the Game
543,Action Thriller,9057,en,Terminal Velocity
544,Drama Music,20967,en,Thirty Two Short Films About Glenn Gould
545,Comedy Drama Family Romance,10635,en,Threesome
546,Fantasy Animation Family,9479,en,The Nightmare Before Christmas
547,Action Adventure Comedy,10057,en,The Three Musketeers
548,Action Adventure Drama History Western,11969,en,Tombstone
549,Drama Action Thriller,41590,en,Trial by Jury
550,Action Thriller Crime Romance,319,en,True Romance
551,Documentary History,26408,en,The War Room
552,Fantasy Science Fiction Family Animation,15139,en,The Pagemaster
553,Drama Comedy,161158,en,"Paris, France"
554,,218473,en,"The Beans of Egypt, Maine"
555,Thriller Drama Romance,85247,en,Killer
556,Comedy Drama,11446,en,Welcome to the Dollhouse
557,Drama Romance,51980,en,Germinal
558,Comedy Romance,24405,en,Chasers
559,Drama Horror Thriller,11655,en,Cronos
560,Comedy Romance,11800,en,Naked in New York
561,Comedy Drama,8223,es,Kika
562,Comedy Drama,14587,en,Bhaji on the Beach
563,Comedy Family,31504,en,Little Big League
564,Drama,41653,sv,The Slingshot
565,TV Movie Drama Romance Comedy,53185,en,Wide Eyed and Legless
566,Drama Romance,95743,en,Foreign Student
567,Comedy Foreign,23637,en,"Ciao, Professore!"
568,Comedy Drama,17600,en,Spanking the Monkey
569,Romance Comedy Family,10897,en,The Little Rascals
570,Comedy,349394,en,À la mode
571,Drama Family Adventure,21352,en,Andre
